Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
3.35460331777916,--,--,--,--,"The number of active entities in the simulation has exceeded 20,000 objects"
3.35460331777916,--,--,--,--,This may indicate that there is a logic problem in the model which is creating too many entities or is not destroying them. 

